u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
358465410,635122963,3ης Σεπτεμβρίου,secondary,True,45.282,2,,,,,,,,,281
358465904,635126478,Αλιτσης,residential,True,108.049,,,,,,,,,,282
358465904,95663394,Ηπείρου,secondary,True,69.213,1,,,,,,,,,283
359096435,97792973,Καλλιδρομίου,residential,False,11.503,,,,,,,,,,284
359096435,1303525204,Καλλιδρομίου,residential,True,58.475,,,,,,,,,,285
363357735,250714051,Αιόλου,primary,True,106.121,2,,ΕΟ1,,,,,,,286
363357735,250700142,Σταδίου,primary,True,41.579,3,,,,,,,,,287
364104825,250706958,Ζωοδόχου Πηγής,residential,True,64.89800000000001,,,,,,,,,,288
364104825,364104830,Κωλέττη,residential,True,118.707,,,,,,,,,,289
364104830,250712701,Κωλέττη,residential,True,78.183,,,,,30.0,,,,,290
388172051,388172082,Εμμανουήλ Μπενάκη,residential,True,49.652,1,,,,,,,,,291
388172055,388172051,Ζαλόγγου,residential,True,59.96,,,,,,,,,,292
388172055,388172075,Σουλίου,residential,True,57.205,,,,,,,,,,293
388172056,250700083,Ζωοδόχου Πηγής,residential,True,77.404,,,,,,,,,,294
388172056,388172055,Ζαλόγγου,residential,True,62.966,,,,,,,,,,295
388172075,4464395361,Σουλίου,residential,False,29.048,,,,,,,,,,296
388172075,250700339,Σόλωνος,secondary,True,31.596,2,,,,,,,,,297
388172082,388172083,Γραβιάς,residential,True,88.266,,,,,,,,,,298
388172082,250700339,Εμμανουήλ Μπενάκη,residential,True,21.052,1,,,,,,,,,299
388172083,250700085,Θεμιστοκλέους,residential,True,48.895,,,,,,,,,,300
515962403,4056070360,,primary_link,True,68.262,2,,,,,,,,,301
515962403,5921003579,Πατησίων,primary,True,44.288,3,,ΕΟ1,,,,,,,302
515962403,358464213,Ιουλιανού,residential,True,82.79400000000001,,,,,,,,,,303
516020343,516020349,,secondary_link,True,74.44500000000001,1,,,,,,,,,304
516020343,358464177,Αλεξάνδρας,primary,True,53.51800000000001,4,,,,50.0,,,,,305
516020349,358465943,Μαυροματαίων,secondary,True,67.035,3,,,,,,,,,306
516020362,8207556731,,primary_link,True,54.372,1,,,,,,,,,307
516020362,5581434217,Αλεξάνδρας,primary,True,39.512,4,,,,50.0,,,,,308
516020524,962356679,Καποδιστρίου,primary,True,120.467,2,,,,,,,,,309
516020524,250714052,Πατησίων,primary,True,57.05499999999999,3,,ΕΟ1,,,,,,,310
569850326,97797086,Μετσόβου,residential,True,39.513,,,,,,,,,,311
569850326,250713331,Σπύρου Τρικούπη,tertiary,False,5.408,1,,,,,,,,,312
597677303,97788202,Μάρνη,primary,True,17.141,2,,,,,,,,,313
597677303,961530639,Πατησίων,primary,True,33.724000000000004,2,,ΕΟ1,,,,,,,314
599116897,250699613,Ακαδημίας,secondary,True,61.13399999999999,2,,,,,,,,,315
599116897,250699711,Μαυρομιχάλη,residential,True,112.707,1,,,,,,,,,316
625958232,516020343,Αλεξάνδρας,primary,True,100.015,3,,,,50.0,,,,,317
631608665,358464012,Σπύρου Τρικούπη,tertiary,True,11.327,1,,,,,,,,,318
631608665,625958232,Αλεξάνδρας,primary,True,136.803,3,,,,50.0,,,,,319
633562896,97834824,Κωσταντίνου Παλαιολόγου,residential,True,69.125,,,,,,,,,,320
633562897,633562896,Ταρελλά,residential,True,97.785,,,,,,,,,,321
633562897,7248584892,Μαιζώνος,residential,True,48.706,,,,,30.0,,,,,322
633562902,95663419,Φαβιέρου,residential,True,44.401,1,,,,,,,,,323
635122963,635122964,Γκυιλφόρδου,residential,True,115.388,1,,,,,,,,,324
635122963,635122988,3ης Σεπτεμβρίου,secondary,True,12.569,2,,,,,,,,,325
635122964,358465186,Πατησίων,primary,True,45.273,3,,ΕΟ1,,,,,,,326
635126478,358465939,Αλιτσης,residential,True,45.983,,,,,,,,,,327
635126478,635126483,Τρικόρφων,residential,True,69.68199999999999,,,,,,,,,,328
635126483,97788471,3ης Σεπτεμβρίου,secondary,True,40.06799999999999,2,,,,,,,,,329
